=== test_sub1  (test_acc=41.73%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
   25      0.0622     99.99%    0.1334    94.73%
   26      0.0615    100.00%    0.1277    95.27%
   27      0.0617     99.96%    0.1357    94.55%
   28      0.0610     99.98%    0.1956    92.12%
   29      0.0606    100.00%    0.1049    96.00%
   30      0.0600     99.99%    0.1124    95.95%
   31      0.0595     99.98%    0.0864    96.87%
   32      0.0598     99.99%    0.1056    95.75%
   33      0.0594    100.00%    0.1242    95.00%
   34      0.0586    100.00%    0.1292    94.37%
   35      0.0592     99.97%    0.1129    94.91%
   36      0.0582    100.00%    0.1236    94.26%
   37      0.0581    100.00%    0.1012    95.82%
   38      0.0577    100.00%    0.1420    93.83%
   39      0.0576    100.00%    0.1530    93.79%
   40      0.0571    100.00%    0.1110    95.09%
   41      0.0571     99.99%    0.1183    95.00%
   42      0.0572    100.00%    0.1016    95.79%
   43      0.0574     99.99%    0.1050    95.23%
   44      0.0567    100.00%    0.0888    96.08%
   45      0.0567    100.00%    0.1152    94.87%
   46      0.0573     99.99%    0.1181    94.71%
   47      0.0566    100.00%    0.1000    95.63%
   48      0.0566    100.00%    0.1298    94.38%
   49      0.0567    100.00%    0.0950    95.81%
   50      0.0564    100.00%    0.1124    94.98%

=== test_sub13  (test_acc=47.07%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.5089     82.62%    1.1265    64.25%
    2      0.2012     95.59%    1.5664    63.77%
    3      0.1365     97.99%    1.7777    63.55%
    4      0.1113     98.81%    2.1576    62.83%
    5      0.0986     99.14%    2.2417    63.82%
    6      0.0983     99.05%    2.6083    63.14%
    7      0.0888     99.36%    2.0689    66.27%
    8      0.0886     99.34%    2.4290    66.40%
    9      0.0828     99.50%    2.6549    64.09%
   10      0.0771     99.76%    2.9607    63.17%
   11      0.0862     99.34%    3.0095    63.23%
   12      0.0841     99.42%    2.7443    64.13%
   13      0.0741     99.82%    2.5909    64.83%
   14      0.0738     99.78%    2.6101    64.83%
   15      0.0723     99.81%    2.7836    64.09%
   16      0.0693     99.89%    2.7724    64.22%
   17      0.0671     99.93%    2.7147    63.98%
   18      0.0675     99.90%    2.5691    65.66%
   19      0.0702     99.80%    3.0366    63.30%
   20      0.0696     99.80%    2.6741    64.11%
   21      0.0672     99.91%    2.5871    64.56%
   22      0.0652     99.95%    2.7270    64.20%
   23      0.0645     99.93%    2.8060    62.99%
   24      0.0643     99.95%    2.6731    64.54%
   25      0.0629     99.97%    2.6198    64.31%
   26      0.0641     99.89%    2.7197    62.67%
   27      0.0623     99.96%    2.5437    62.90%
   28      0.0620     99.97%    2.3649    64.52%
   29      0.0612     99.97%    2.5112    64.11%
   30      0.0606     99.97%    2.4518    63.86%
   31      0.0608     99.96%    2.3935    64.29%
   32      0.0605     99.97%    2.4941    63.17%
   33      0.0596     99.99%    2.4615    63.05%
   34      0.0594    100.00%    2.3770    63.66%
   35      0.0592     99.99%    2.3823    64.40%
   36      0.0586     99.99%    2.4021    63.14%
   37      0.0584     99.99%    2.2900    63.71%
   38      0.0581     99.99%    2.2905    63.93%
   39      0.0588     99.97%    2.3491    63.44%
   40      0.0579    100.00%    2.4279    63.48%
   41      0.0580     99.99%    2.2949    64.49%
   42      0.0577     99.99%    2.4117    63.79%
   43      0.0576    100.00%    2.4116    62.72%
   44      0.0575     99.99%    2.2953    63.62%
   45      0.0568    100.00%    2.2392    64.24%
   46      0.0569    100.00%    2.1878    64.76%
   47      0.0572     99.99%    2.2375    64.51%
   48      0.0569     99.99%    2.3743    63.12%
   49      0.0573     99.99%    2.2902    64.09%
   50      0.0568     99.99%    2.3098    63.71%

=== test_sub14  (test_acc=75.57%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.5217     82.20%    0.1763    94.89%
    2      0.2031     95.61%    0.0933    97.41%
    3      0.1346     98.14%    0.0639    98.42%
    4      0.1096     98.88%    0.0477    98.29%
    5      0.1016     99.00%    0.0488    98.16%
    6      0.0969     99.12%    0.0158    99.64%
    7      0.0894     99.32%    0.0171    99.66%
    8      0.0833     99.56%    0.0144    99.71%
    9      0.0800     99.68%    0.0051    99.96%
   10      0.0805     99.56%    0.0069    99.87%
   11      0.0835     99.50%    0.0291    99.28%
   12      0.0807     99.54%    0.0089    99.93%
   13      0.0767     99.66%    0.0055   100.00%
   14      0.0716     99.84%    0.0072    99.71%
   15      0.0689     99.92%    0.0062    99.86%
   16      0.0703     99.86%    0.0048   100.00%
   17      0.0740     99.71%    0.0071    99.91%
